"Capítulo CID-10";"2020";"2021";"2022";"2023";"2024";"2025";"2026";"Total"
"XV.  Gravidez parto e puerpério";3999;4158;4036;4015;3961;3886;888;24943
"XIX. Lesões enven e alg out conseq causas externas";1830;1836;1841;1921;2062;2270;593;12353
"XI.  Doenças do aparelho digestivo";1182;1287;1338;1305;2155;1499;422;9188
"II.  Neoplasias (tumores)";1237;1280;1507;1453;1627;1489;341;8934
"I.   Algumas doenças infecciosas e parasitárias";1954;3151;1022;670;735;609;175;8316
"IX.  Doenças do aparelho circulatório";1037;1072;1265;1174;1227;1221;322;7318
"X.   Doenças do aparelho respiratório";813;911;1375;1050;1021;1228;316;6714
"XIV. Doenças do aparelho geniturinário";667;726;697;1040;875;1077;265;5347
"XVI. Algumas afec originadas no período perinatal";711;594;492;740;1032;879;208;4656
"XII. Doenças da pele e do tecido subcutâneo";605;579;546;585;576;701;164;3756
"XXI. Contatos com serviços de saúde";146;154;181;575;1000;372;72;2500
"XIII.Doenças sist osteomuscular e tec conjuntivo";219;192;190;271;427;501;131;1931
"XVIII.Sint sinais e achad anorm ex clín e laborat";125;183;242;222;233;323;113;1441
"IV.  Doenças endócrinas nutricionais e metabólicas";172;206;232;228;195;238;57;1328
"VI.  Doenças do sistema nervoso";144;186;175;165;158;186;50;1064
"III. Doenças sangue órgãos hemat e transt imunitár";148;150;142;157;141;145;48;931
"XVII.Malf cong deformid e anomalias cromossômicas";62;44;97;97;112;116;32;560
"VII. Doenças do olho e anexos";20;144;74;31;14;12;2;297
"V.   Transtornos mentais e comportamentais";20;10;24;29;25;17;5;130
"VIII.Doenças do ouvido e da apófise mastóide";11;12;25;21;24;26;5;124
"Total";15102;16875;15501;15749;17600;16795;4209;101831
